"Symbol";"Date";"Open";"High";"Low";"Close"
GC3-067;18.06.2010;1491,4;1507,5;1486,9;1502,1
GC3-067;21.06.2010;1505,0;1510,3;1475,4;1476,2
GC3-067;22.06.2010;1477,1;1487,8;1476,8;1484,3
GC3-067;23.06.2010;1484,4;1491,2;1469,0;1482,2
GC3-067;24.06.2010;1481,4;1493,3;1471,8;1489,2
GC3-067;25.06.2010;1488,3;1503,3;1485,4;1500,4
GC3-067;28.06.2010;1499,6;1507,5;1479,7;1482,4
GC3-067;29.06.2010;1482,8;1489,8;1471,4;1485,9
GC3-067;30.06.2010;1485,4;1492,6;1478,9;1486,9
GC3-067;01.07.2010;1486,8;1488,6;1439,8;1443,9
GC3-067;02.07.2010;1442,8;1457,8;1442,6;1455,6
GC3-067;05.07.2010;1456,0;1458,9;1450,0;1453,2
GC3-067;06.07.2010;1453,3;1458,1;1433,3;1438,3
GC3-067;07.07.2010;1437,8;1448,2;1428,8;1447,3
GC3-067;08.07.2010;1446,7;1452,0;1431,1;1442,4
GC3-067;09.07.2010;1442,3;1457,9;1438,4;1456,2
GC3-067;12.07.2010;1456,1;1457,3;1439,9;1440,9
GC3-067;13.07.2010;1441,5;1462,6;1440,3;1455,1
GC3-067;14.07.2010;1455,8;1462,0;1446,3;1452,3
GC3-067;15.07.2010;1451,9;1461,1;1447,5;1452,2
GC3-067;16.07.2010;1452,8;1454,7;1429,6;1436,8
GC3-067;19.07.2010;1437,5;1438,5;1420,7;1427,8
GC3-067;20.07.2010;1427,0;1437,5;1418,9;1435,8
GC3-067;21.07.2010;1435,6;1441,8;1426,8;1429,6
GC3-067;22.07.2010;1427,9;1445,0;1424,5;1438,0
GC3-067;23.07.2010;1438,9;1447,7;1427,2;1432,7
GC3-067;26.07.2010;1431,8;1438,6;1422,4;1425,3
GC3-067;27.07.2010;1426,5;1430,3;1400,7;1405,1
GC3-067;28.07.2010;1404,9;1408,8;1399,4;1407,3
GC3-067;29.07.2010;1407,6;1413,0;1402,5;1412,0
GC3-067;30.07.2010;1412,0;1426,9;1409,8;1425,3
GC3-067;02.08.2010;1425,6;1435,7;1418,5;1425,8
GC3-067;03.08.2010;1426,6;1434,8;1423,4;1429,5
GC3-067;04.08.2010;1429,9;1447,3;1428,8;1439,7
GC3-067;05.08.2010;1438,8;1444,6;1433,8;1439,0
GC3-067;06.08.2010;1439,2;1455,1;1436,3;1449,3
GC3-067;09.08.2010;1448,1;1453,9;1442,9;1445,1
GC3-067;10.08.2010;1445,1;1451,7;1434,3;1447,3
GC3-067;11.08.2010;1448,7;1452,0;1436,0;1441,7
GC3-067;12.08.2010;1442,4;1460,3;1441,3;1456,9
GC3-067;13.08.2010;1457,9;1461,6;1454,1;1459,2
GC3-067;16.08.2010;1458,3;1471,3;1458,0;1468,7
GC3-067;17.08.2010;1468,8;1472,9;1466,1;1468,3
GC3-067;18.08.2010;1468,6;1476,2;1460,7;1472,9
GC3-067;19.08.2010;1472,8;1481,3;1471,3;1475,8
GC3-067;20.08.2010;1476,0;1477,4;1465,4;1471,6
GC3-067;23.08.2010;1471,0;1475,8;1465,3;1468,7
GC3-067;24.08.2010;1469,1;1479,3;1453,5;1473,3
GC3-067;25.08.2010;1473,9;1485,2;1472,7;1483,5
GC3-067;26.08.2010;1484,2;1487,8;1476,9;1479,4
GC3-067;27.08.2010;1480,9;1486,0;1475,3;1481,3
GC3-067;30.08.2010;1480,7;1482,2;1476,8;1479,9
GC3-067;31.08.2010;1480,5;1493,6;1475,3;1491,1
GC3-067;01.09.2010;1492,1;1498,4;1485,9;1488,1
GC3-067;02.09.2010;1487,4;1497,0;1487,1;1494,7
GC3-067;03.09.2010;1495,0;1497,4;1481,0;1490,0
GC3-067;06.09.2010;1492,1;1495,1;1490,4;1493,3
GC3-067;07.09.2010;1493,6;1503,4;1488,2;1498,2
GC3-067;08.09.2010;1499,1;1506,5;1496,4;1498,1
GC3-067;09.09.2010;1498,5;1502,3;1485,3;1487,3
GC3-067;10.09.2010;1487,6;1494,8;1479,7;1490,3
GC3-067;13.09.2010;1489,1;1492,8;1484,1;1488,4
GC3-067;14.09.2010;1488,4;1518,3;1487,8;1512,0
GC3-067;15.09.2010;1512,0;1515,3;1506,3;1511,4
GC3-067;16.09.2010;1510,9;1521,3;1507,9;1518,7
GC3-067;17.09.2010;1518,6;1526,2;1514,8;1518,0
GC3-067;20.09.2010;1519,5;1527,0;1517,4;1521,7
GC3-067;21.09.2010;1522,2;1534,2;1513,8;1530,0
GC3-067;22.09.2010;1530,5;1539,8;1529,3;1534,4
GC3-067;23.09.2010;1534,5;1539,3;1530,0;1535,7
GC3-067;24.09.2010;1535,6;1543,4;1532,4;1540,1
GC3-067;27.09.2010;1541,0;1543,1;1537,0;1537,8
GC3-067;28.09.2010;1538,6;1553,6;1518,0;1552,1
GC3-067;29.09.2010;1552,6;1556,6;1547,9;1553,0
GC3-067;30.09.2010;1552,6;1559,3;1538,8;1552,4
GC3-067;01.10.2010;1551,4;1563,8;1549,1;1561,8
GC3-067;04.10.2010;1561,5;1563,1;1555,2;1557,9
GC3-067;05.10.2010;1557,9;1584,7;1555,1;1583,3
GC3-067;06.10.2010;1583,1;1592,8;1581,8;1592,4
GC3-067;07.10.2010;1592,3;1607,8;1568,3;1576,3
GC3-067;08.10.2010;1576,0;1592,6;1567,4;1589,7
GC3-067;11.10.2010;1590,7;1598,1;1582,9;1596,5
GC3-067;12.10.2010;1596,7;1598,1;1583,2;1593,1
GC3-067;13.10.2010;1593,3;1617,5;1591,8;1614,5
GC3-067;14.10.2010;1614,4;1629,9;1612,9;1623,8
GC3-067;15.10.2010;1623,5;1628,2;1604,5;1611,6
